species,collection_no,collection_name,specimen_ID,part,length,amber,age_ma
Mesosolva parva,154730,"Yujiagou, collection Lby/y3, Beipiao City",Hong 1001,body,7,not_amber,161.7
Mesosperchus schultzi,123144,"Eichst?tt, Solnhofen (Naturhistorischen Museum Wien collection)",NHMW 1985/26/6 ab,elytron,7,not_amber,147.9
Mesotachinus medius,106101,Karatau-Mikhailovka (PIN collection 2239),PIN 2239/1374,body,7,not_amber,161.7
Mesothymbris perkinsi,106484,Mount Crosby Insect Bed,UQ C889,tegmen,7,not_amber,232.5
Mesothymbris perkinsi,106484,Mount Crosby Insect Bed,UQ C1457,tegmen,7,not_amber,232.5
Mesothymbris woodwardi,106484,Mount Crosby Insect Bed,UQ Dept. of Entomology 18,tegmen,7,not_amber,232.5
Mesotipula (Metatipula) continens,121394,"Shar-Teg, outcrop 423/6 (PIN collection 4270)",PIN 4270/2073,wing,7,not_amber,148.55
Messor sculpturatus,106384,Florissant (MCZ Collection),MCZ 2920,forewing,7,not_amber,35.55
Mesypochrysa minuta,122909,"Durlston Bay, Bed DB175, Swanage (Manchester Mus)",MANCH LL.16086,hindwing,7,not_amber,142.6
Metafulgoridium ampliatum,123987,"Dobbertin, Mecklenburg (Greifswald collection)",NA,tegmen,7,not_amber,182.5
Metafulgoridium graptum,123987,"Dobbertin, Mecklenburg (Greifswald collection)",NA,tegmen,7,not_amber,182.5
Metafulgoridium spilotum,123987,"Dobbertin, Mecklenburg (Greifswald collection)",NA,tegmen,7,not_amber,182.5
Metahadroneura major,122549,"Baissa (PIN collection 3064, bed 31)",PIN 3064/9780,body,7,not_amber,119
Metarchitaulius longus,123987,"Dobbertin, Mecklenburg (Greifswald collection)",NA,forewing,7,not_amber,182.5
Metrobates aeternalis,106384,Florissant (MCZ Collection),5525,body,7,not_amber,35.55
Microcara zubkovi,113470,Baltic amber (PIN collection 364),PIN 364/283,body,7,amber,35.95
Microcoleopteron jurassicum,123906,Solnhofen (Teyler Museum Collection),TM 6515,body,7,not_amber,147.9
Miomatoneurella rossoshana,103502,"Chepanikha, Rossokha River Valley",PIN 3286/119,forewing,7,not_amber,266.5
Miomyrmex striatus,106384,Florissant (MCZ Collection),MCZ 2861,forewing,7,not_amber,35.55
Mongolospeculum minutum,103657,Bon Tsagaan (PIN collection 3559),PIN 3559/595,elytron,7,not_amber,119
Moravocoleus permianus,114186,"Obora, southern edge of ravine",Charles University 1/1968,elytron,7,not_amber,292.8
Mourloniella solenhofensis,123985,Solnhofen (BSPGM Munich coll),NA,elytron,7,not_amber,147.9
Multimodus stigmaeus,107001,"Gaositai railway station, Chengde City",CH93021,forewing,7,not_amber,127.725
Mutilla tenera,121476,"Brunstatt, horizon d4",M. tenera d4 type,wing,7,not_amber,31.15
Mylacridium brongniarti,122578,Wettin,NA,tegmen,7,not_amber,302.3
Mylacridium incertum,122578,Wettin,NA,tegmen,7,not_amber,302.3
Mylacridium longulum,122578,Wettin,NA,tegmen,7,not_amber,302.3
Necrobia divinatoria,106384,Florissant (MCZ Collection),MCZ 2519,body,7,not_amber,35.55
Necromera admiranda,111714,"Huangbanjigou, Chaomidian Village, CNU 2008 collection",CNU-COL-LB2008911-2,body,7,not_amber,127.725
Neocorynura electra,122982,Dominican amber (AMNH coll),NA,body,7,amber,17.13
Neosharategia paradoxa,121394,"Shar-Teg, outcrop 423/6 (PIN collection 4270)",PIN 4270/210a,tegmen,7,not_amber,148.55
Neothanes testeus,122092,Green River (Lee Collection),Lee 24,elytron,7,not_amber,48.25
Nevania perbella,138748,Daohugou (CNU 2012 collection),CNU-HYM-NN2012014,forewing,7,not_amber,161.7
Nomaretus serus,106384,Florissant (MCZ Collection),Scudder 12086,body,7,not_amber,35.55
Nothorhina granulicollis,110735,"Baltic Amber, GPIH collection",GPIH 1461,body,7,amber,35.95
Notocupes lapidarius,106102,Karatau-Mikhailovka (PIN collection 2384),PIN 2384/404,body,7,not_amber,161.7
Notocupes tenuis,110763,"Madygen, PIN collection 2240, Dzhailoucho area",PIN 2240/37,elytron,7,not_amber,232.5
Notonectopsis sinica,154886,"84GTN4, Nanligezhuang, Tuanwang Town, Laiyang City",84SHL202,forewing,7,not_amber,119
Nysson rottensis,138696,Rott (Bauckhorn coll),NA,forewing,7,not_amber,25.715
Obesofemoria chijinqiaoensis,155034,"Sample II8P2L1, Chijinqiao, Yumen City",Kj1152,elytron,7,not_amber,127.725
Oborella brauckmanni,130150,Odernheim,MNHN F.A31044,forewing,7,not_amber,297.2
Ochlerotatus serafini,110737,Baltic Amber (University of Gdansk MAI collection),MAI 112,body,7,amber,35.95
Ocnoserphus sculptus,103832,"Jianshangou, Beipiao City (NIGP coll)",NIGP 132113,body,7,not_amber,127.725
Ocymoromelitta miocenica,114150,Florissant (Cockerell Collection),NA,body,7,not_amber,35.55
Odrowazicoris polonicus,123446,Odrowaz,MNISEAPAS 2,forewing,7,not_amber,200.3
Odynerus praesepultus,106384,Florissant (MCZ Collection),NA,forewing,7,not_amber,35.55
Oecophylla atavina,123959,Bembridge Marls (Brodie coll),USNM 61419,forewing,7,not_amber,35.95
Oecophylla atavina,123959,Bembridge Marls (Brodie coll),USNM 61422,forewing,7,not_amber,35.95
Oecophylla sicula,123432,Sicilian amber (Bologna coll),16617,body,7,amber,8.4705
Oliarites terrentula,121306,Petrified fish cut (Richardson Coll),Scudder coll 31d,tegmen,7,not_amber,48.25
Omileus evanidus,106384,Florissant (MCZ Collection),Scudder 6544,body,7,not_amber,35.55
Onokhoius dubius,138072,Onokhoy (PIN collection 4099),PIN 4099/49,body,7,not_amber,119
Ophryastites absconsus,106384,Florissant (MCZ Collection),NA,elytron,7,not_amber,35.55
Orthophlebia germanica,123987,"Dobbertin, Mecklenburg (Greifswald collection)",GPI 123/165,wing,7,not_amber,182.5
Orthophlebia obunca,118010,Kubekovo village (PIN collection 1255),PIN 1255/179,forewing,7,not_amber,168.2
Orthoscytina pincombei,122416,Belmont (Pincombe 1925 coll),Pincombe 143,tegmen,7,not_amber,253.17
Orthrius gandalf,109625,"Baltic Amber, Berendt collection",MfN MB.J.469,body,7,amber,35.95
Oryctobaissodes armatus,105969,Baissa (PIN collection 3064),PIN 3064/637,forewing,7,not_amber,119
Otiorhynchites absentivus,34966,Florissant (USGS collection),USGS 969,elytron,7,not_amber,35.55
Otiorhynchites crassus,110536,Station 3; Sunchal,AMNH 24513,elytron,7,not_amber,61
Ovatocupes alienus,152052,Near Chaomidian Village CNU 2005 collection,CNU-C-LB2005001,elytron,7,not_amber,127.725
Ovicimex laiyangensis,154886,"84GTN4, Nanligezhuang, Tuanwang Town, Laiyang City",84SHL119,body,7,not_amber,119
Pachycondyla nubeculata,128551,"Shanwang, Linqu County, collection 3",820065,forewing,7,not_amber,13.789
Pachyrhyphus malus,122332,Gurvan-Ereny-Nuruu (Outcrop 236/29),PIN 3149/1527,body,7,not_amber,119
Pachyrhyphus transbaicalicus,123197,Unda (PIN collection 3015),PIN 3015/1488,wing,7,not_amber,148.55
Palaehydropsyche fossilis,123422,Dominican Amber (NHML/BMNH collection),BMNH In. 64598,forewing,7,amber,17.13
Palaeogeron vetustus,122488,Aix-en-Provence (Inst. Geol. Lyon),NA,body,7,not_amber,25.565
Palaeoleuctra acuta,122997,"Rovno Amber, Klesov locality (SIZC K collection)",SIZK K-3702,forewing,7,amber,35.95
Palaeomantis schmidti,116456,Tikhie Gory (PIN collection 2065), PIN 2065/72,forewing,7,not_amber,270.55
Palaeomantis schmidti,116456,Tikhie Gory (PIN collection 2065),PIN 2065/45,forewing,7,not_amber,270.55
Palaeoneurorthus groehni,110735,"Baltic Amber, GPIH collection",GPIMH Grohn 7081b,forewing,7,amber,35.95
Palaeotaeniopteryx distalis,104717,Novo-Aleksandrovka (PIN collection 3700),PIN 3700/74,forewing,7,not_amber,262.5
Palaeotaulius vicinus,123987,"Dobbertin, Mecklenburg (Greifswald collection)",NA,forewing,7,not_amber,182.5
Palaeoteleia oxyura,113749,"Wilson Ranch, Florissant",MCZ 3912,body,7,not_amber,35.55
Pallicoris firmis,151540,"KHG 201, Xiwan coal mine, Hezhou City",NIGP 70043,body,7,not_amber,169.3
Parabittacus lingula,107321,"Grassel, Braunschweig",GPIBC no number,wing,7,not_amber,182.5
Parablattelytron subincisum,111219,"Elmo, YPM 1921 collection",YPM 5408,elytron,7,not_amber,284.7
Parabolitobius groehni,110735,"Baltic Amber, GPIH collection",NA,body,7,amber,35.95
Paracassida punctillata,114060,Geiseltal (GPIUH collection),G 55/124,body,7,not_amber,44.55
Paracurculionites parvulus,130418,North of Sofiero,NA,elytron,7,not_amber,204.9
Parandrexis parvula,31311,Karatau-Galkino (PIN collection 1789),PIN 1789/48,body,7,not_amber,161.7
Parandrita vestita,122090,Green River (Packard Collection),87,body,7,not_amber,48.25
Parasheimia truncata,122753,"Chekarda, Sylva River (PIN collection 4987)",PIN 4987/27,forewing,7,not_amber,275.8
Parasheimia truncata,122753,"Chekarda, Sylva River (PIN collection 4987)",PIN 4987/27,body,7,not_amber,275.8
Parataulius jurassicus,123987,"Dobbertin, Mecklenburg (Greifswald collection)",NA,forewing,7,not_amber,182.5
Parathnesidius oculatus,105087,"Ak-Bulak-Say, Sogjuta, Issyk-Kul (PIN Collection 371)",PIN 371/2351,body,7,not_amber,196.05
Pareuryomma tylodes,111717,"Huangbanjigou, Chaomidian Village, CNU 2005 collection",CNU-C-LB2005003,body,7,not_amber,127.725
Patrobus gasiorowskii,153476,Boryslawia,NA,elytron,7,not_amber,0.06885
Pelandrena reducta,124681,"Florissant, Station 4",UCM 18741,body,7,not_amber,35.55
Penthetria formicoides,127630,Corent (MNHN collection),NA,body,7,not_amber,31
Penthetria imperialis,117612,Mok&#345;ina (Krottensee),NA,wing,7,not_amber,16.435
Penthetria rottensis,122010,Rott (Statz coll),NA,wing,7,not_amber,25.715
Peratrimera mexicana,151418,Chiapas amber (BMNH collection),BMNH In. 2158(1),wing,7,amber,19.5
Perlariopsis peipiaoensis,156597,"Locality 2101, Peipiao",NIGP 2138,body,7,not_amber,161.7
Permagra distincta,122433,"Warner's Bay, Belmont (AMF coll)",AM.F39866,body,7,not_amber,253.17
Permoberothella perplexa,122433,"Warner's Bay, Belmont (AMF coll)",AM F42520,forewing,7,not_amber,253.17
Permopanorpa martynovi,104993,Soyana (PIN collection 2334),PIN 2334/178,hindwing,7,not_amber,270.55
Persona incognita,108206,"Chekarda, Sylva River (PIN collection 1700)",PIN 1700/4577,forewing,7,not_amber,275.8
Pesus prognathus,113406,"Madygen, PIN collection 2344, Dzhailoucho area",PIN 2344/262,body,7,not_amber,232.5
Petrochorista sororcula,124608,Sokolova II (PIN collection 673),PIN 673/215,forewing,7,not_amber,256.035
Petromantis latimargo,112708,"Sarbala II, Kaltan River, Outcrop P, bed 63 (PIN collection 598)",PIN 598/70,forewing,7,not_amber,275.8
Petromantis rossica,116535,Soyana (PIN collection 2050),PIN 2050/24,forewing,7,not_amber,270.55
Petromantis rossica,111187,Soyana (PIN collection 2455),PIN 2445/85,hindwing,7,not_amber,270.55
Petropterix kukalovae,138923,"Hangxia valley, 20 km WWS from Yumen city",NIGPAS 89JH1002û2,body,7,not_amber,106.75
Phaneroneura reducta,104824,Midco Locality 15,MCZ 4733,forewing,7,not_amber,284.7
Phaonia electrica,122982,Dominican amber (AMNH coll),AMNH 11767,body,7,amber,17.13
Pheidole tertiaria,106384,Florissant (MCZ Collection),MCZ 2918,body,7,not_amber,35.55
Philoponites praefractus,106381,"Florissant, Station 14",NA,forewing,7,not_amber,35.55
Pholipheron articulatus,107321,"Grassel, Braunschweig",GPIBC fig 216,elytron,7,not_amber,182.5
Pimpla appendigera,122976,"Florissant, south end of Fossil Stump Hill (station ?)",AMNH-FI-39459,body,7,not_amber,35.55
Pimpla impuncta,156317,"Gubei district well, 3193.5 m depth, Dongying City",NA,body,7,not_amber,35.95
Pimpla stigmatica,156743,"Thy (Mineralogical Museum, Copenhagen coll.)",NA,forewing,7,not_amber,51.9
Pinnachorista problematica,105062,Karaungir-II (PIN collection 2781),PIN 2781/80,forewing,7,not_amber,253.17
Pipiza melanderi,123119,Florissant (AMNH Collection),AMNH 154,wing,7,not_amber,35.55
Platycheirus lethaeus,122629,"Florissant, Fossil Stump Hill",UCM 19899,body,7,not_amber,35.55
Platycupes sogdianus,113468,"Madygen, PIN collection 2070, Madygen (Northern area)",PIN 2070/818,elytron,7,not_amber,232.5
Platyelater quiescentus,105426,Karatau-Mikhailovka (PIN collection 2997),PIN 2997/416,elytron,7,not_amber,161.7
Plecia elongata,138696,Rott (Bauckhorn coll),NA,wing,7,not_amber,25.715
Plecia exposita,123945,Rott (Krantz Bonn coll),NA,wing,7,not_amber,25.715
Plecia exposita,138696,Rott (Bauckhorn coll),NA,wing,7,not_amber,25.715
Plecia foersteri,121473,"Brunstatt, horizon d2",Foerster stygia d2 specimen,body,7,not_amber,31.15
Plecia grossa,122010,Rott (Statz coll),NA,wing,7,not_amber,25.715
Plecia hypogaea,122010,Rott (Statz coll),NA,body,7,not_amber,25.715
Plecia hypogaea,122010,Rott (Statz coll),NA,wing,7,not_amber,25.715
Plecia kuznetzovi,113705,Kudia River,USNM 69610,wing,7,not_amber,18.205
Plecia lapidaria,121476,"Brunstatt, horizon d4",Foerster lapidaria d4 specimen,body,7,not_amber,31.15
Plecia splendida,121474,"Brunstatt, horizon d3",Foerster exposititia d3 specimen,wing,7,not_amber,31.15
Plecia woodruffi,124691,"Evacuation Creek, near Ute Station",USNM 61455,wing,7,not_amber,48.25
Pleciopsis longa,154787,"Zhouyingzi village, collection H8031, Luanping County",Hong Hr187,wing,7,not_amber,161.7
Plesiorobius canadensis,35056,"Taimyr amber, Yantardakh Hill (PIN collection 3311)",PIN 3311/590,hindwing,7,amber,84.95
Pliosyntomium schmidti,109196,Willershausen clay pit (GZG collection),GZG 597-1,body,7,not_amber,3.094
Plochionus lesquereuxi,106384,Florissant (MCZ Collection),Scudder 8728,body,7,not_amber,35.55
Plutopteryx popovi,118010,Kubekovo village (PIN collection 1255),PIN 1255/480,forewing,7,not_amber,168.2
Ponerites oblongiceps,113698,Radoboj (Geologischen Bundesanstalt Collection),GBA 2009/016/0515,body,7,not_amber,18.205
Ponerites tenuis,117247,Radoboj (NHMW Wien Collection),NHMW 1852.XXIX.36b,body,7,not_amber,18.205
Poroblattina parvula,122578,Wettin,NA,tegmen,7,not_amber,302.3
Poroblattina parvula,122578,Wettin,NA,tegmen,7,not_amber,302.3
Poroblattina parvula,122578,Wettin,NA,tegmen,7,not_amber,302.3
Poroblattina rotundata,122578,Wettin,NA,tegmen,7,not_amber,302.3
Poroblattina rotundata,122578,Wettin,NA,tegmen,7,not_amber,302.3
Praeaulacon elongatus,105971,Karatau-Mikhailovka (PIN collection 2066),PIN 2066/3425,body,7,not_amber,161.7
Priocnemis wettweri,122010,Rott (Statz coll),LACMIP 3973,forewing,7,not_amber,25.715
Pristaulacus rohweri,106381,"Florissant, Station 14",NA,body,7,not_amber,35.55
Probelus (Probelus) curvispinus,105970,Karatau-Mikhailovka (PIN collection 2554),PIN 2554/79,body,7,not_amber,161.7
Prochoristella megaloprepia,122433,"Warner's Bay, Belmont (AMF coll)",AM F40123,forewing,7,not_amber,253.17
Proelectrotermes roseni,127614,Randeck Maar (Armbruster collection),SMNS 2050,forewing,7,not_amber,14.81
Prohemerobius persimilis,123987,"Dobbertin, Mecklenburg (Greifswald collection)",NA,wing,7,not_amber,182.5
Prorhyacophila furcata,110765,"Madygen, PIN collection 2971, Madygen (SW area)",PIN 2971/354,forewing,7,not_amber,232.5
Prospeolepta trapezia,119441,"Baissa (PIN collection 4210, layer 22)",PIN 4210/2940,body,7,not_amber,119
Protainophthalmus asperulus,122487,Aix-en-Provence (Museum Marseille Coll),NA,elytron,7,not_amber,25.565
Protazteca quadrata,106384,Florissant (MCZ Collection),MCZ 2823,forewing,7,not_amber,35.55
Protelytron dunbari,111219,"Elmo, YPM 1921 collection",YPM 5418,body,7,not_amber,284.7
Protelytron furcatum,114151,"Elmo, MCZ 1935 collection Upper Limestone",MCZ 3885,elytron,7,not_amber,284.7
Protembia permiana,111219,"Elmo, YPM 1921 collection",YPM 15558,forewing,7,not_amber,284.7
Protembia permiana,111219,"Elmo, YPM 1921 collection",YPM 15558,body,7,not_amber,284.7
Protembia permiana,111219,"Elmo, YPM 1921 collection",YPM 15559,body,7,not_amber,284.7
Protocardiophorus jurassicus,105426,Karatau-Mikhailovka (PIN collection 2997),PIN 2997/2020,elytron,7,not_amber,161.7
Protochoristella formosa,113360,Daohugou (CNU 2006 collection),CNU-M-NN2006006,body,7,not_amber,161.7
Protomyia stygia,123945,Rott (Krantz Bonn coll),NA,wing,7,not_amber,25.715
Protopone vetula,120798,Grube Messel Pit (Senckenberg SMF collection),FIS MeI 7679,body,7,not_amber,44.5
Protorabus crassus,125409,Shiviya locality (PIN collection 3924),PIN 3924/33,body,7,not_amber,131.15
Pseudarachnocephalus dominicanus,122473,Dominican amber (USNM Brodzinsky Lopez-Pena coll),NMNH 504396,body,7,amber,17.13
Pseudocamponotus elkoanus,138653,"Central Pacific Railroad shaft, Elko",MCZ 2940,body,7,not_amber,32.8
Pseudolimnophila (Baltilimnophila) elegantissima,124073,"Baltic Amber, Klebs collection",Klebs 375,wing,7,amber,35.95
Pseudolimnophila (Baltilimnophila) pulcherrima,123757,"Baltic Amber, Zoological Museum, Humboldt Univ Berlin (ZHMB MfN) Collection",NA,body,7,amber,35.95
Pseudolimnophila siciliana,157035,Sicilian amber (MCSN coll),MCSNV Foss. Ins. 388//AWS,wing,7,amber,8.4705
Pseudomerope gallei,114141,"&#344;?&#269;any, southern bank of ravine",CUP 16/1989,forewing,7,not_amber,297.2
Pseudomerope mareki,114186,"Obora, southern edge of ravine",CUP 4/1989,hindwing,7,not_amber,292.8
Pseudonemonyx stupendus,118216,"Baissa (PIN collection 4210, unknown layer)",PIN 4210/7065,body,7,not_amber,119
Pseudopallenis baltica,123766,Baltic amber (BMNH coll),BMNH In. 18785,body,7,amber,35.95
Pseudopallenis baltica,147612,"Baltic Amber, Humboldt University MfN Collection",MfN MB.J.522,body,7,amber,35.95
Pseudopolycentropus daohugouensis,113363,Daohugou (NIGP 2003 collection),NIGP DHG200301,forewing,7,not_amber,161.7
Pseudopolycentropus janeannae,113376,Daohugou (CNU 2005 collection),CNU-M-NN2005001,body,7,not_amber,161.7
Pseudopolycentropus janeannae,113376,Daohugou (CNU 2005 collection),CNU-M-NN2005030,body,7,not_amber,161.7
Pseudopolycentropus janeannae,113376,Daohugou (CNU 2005 collection),CNU-M-NN2005003,body,7,not_amber,161.7
Pseudopolycentropus janeannae,113376,Daohugou (CNU 2005 collection),CNU-M-NN2005004,forewing,7,not_amber,161.7
Pseudopolycentropus janeannae,113376,Daohugou (CNU 2005 collection),CNU-M-NN2005004,body,7,not_amber,161.7
Pseudopolycentropus novokshonovi,113376,Daohugou (CNU 2005 collection),CNU-M-NN2005002,body,7,not_amber,161.7
Psiloptera vermiculata,113685,Menat (Piton collection),Coll. Piton 381,elytron,7,not_amber,57.6
Pterocupes antennatus,106090,"Madygen, PIN collection 2069, Dzhailoucho area",PIN 2069/1076,body,7,not_amber,232.5
Pterocupes leptocerus,106090,"Madygen, PIN collection 2069, Dzhailoucho area",PIN 2069/1126,body,7,not_amber,232.5
Pterostichus (Steropus) aethiops,153476,Boryslawia,NA,elytron,7,not_amber,0.06885
Purbimodus minor,103833,"Durlston Bay, Bed DB175 Clements' Bed, Corbula Beds, Swanage",BMB 023838,forewing,7,not_amber,142.6
Quedius reynesii,122487,Aix-en-Provence (Museum Marseille Coll),NA,body,7,not_amber,25.565
Rasnitsyrina culonga,113350,Khasurty (PIN collection 5340),PIN 5340/123,forewing,7,not_amber,119
Reticulitermes antiquus,123771,"Baltic Amber, Scheele collection, University of Hamburg",GPIH Scheele 904,forewing,7,amber,35.95
Reticulitermes fossarum,106384,Florissant (MCZ Collection),NA,body,7,not_amber,35.55
Reticulocicada brachyptera,122566,"Suriekova I, ditch 6 (PIN collection 676)",PIN 676/299,forewing,7,not_amber,266.95
Rhagio fossitius,124624,Florissant (USNM Collection),USNM 112626,body,7,not_amber,35.55
Rhagonycha kryshtofovichi,113470,Baltic amber (PIN collection 364),PIN 364/108,body,7,amber,35.95
Rhipidoblattina liugouensis,113475,"Xiaofanzhangzi, collection H8017, Chengde City",Hx109,tegmen,7,not_amber,161.7
Rhyssa petiolata,106381,"Florissant, Station 14",AMNH-FI-18914,body,7,not_amber,35.55
Rymosia foersteri,121476,"Brunstatt, horizon d4",Foerster meigeniana d4 specimen,wing,7,not_amber,31.15
Rymosia foersteri,121476,"Brunstatt, horizon d4",Foerster meigeniana d4 specimen,body,7,not_amber,31.15
Salebroferus confragosus,106088,"Madygen, PIN collection 2555, Dzhailoucho area",PIN 2555/1692,body,7,not_amber,232.5
Sargus vetus,116369,White River (Scudder collection),USNM 66923 ,wing,7,not_amber,48.25
Schizophoroides glaber,110763,"Madygen, PIN collection 2240, Dzhailoucho area",PIN 2240/250,body,7,not_amber,232.5
Sciabregma rugosa,114681,Roan Mountain (Scudder Coll),USGS 94,body,7,not_amber,48.25
Sciara pelidua,122010,Rott (Statz coll),NA,body,7,not_amber,25.715
Sciophila mirandula,106381,"Florissant, Station 14",NA,wing,7,not_amber,35.55
Scutinoblattina brongniarti,106345,Fairplay,NA,tegmen,7,not_amber,297.2
Scutinoblattina intermedia,106345,Fairplay,NA,tegmen,7,not_amber,297.2
Scytinoptera reducta,104993,Soyana (PIN collection 2334),PIN 2334/176,tegmen,7,not_amber,270.55
Scytinoptera reducta,96860,"Soyana (Iva Gora, PIN collection 94)",PIN 94/257,hindwing,7,not_amber,270.55
Scytinoptera reducta,116934,Sheimo-Gora (PIN collection 117),PIN 117/1869,tegmen,7,not_amber,270.55
Scytoneura elliptica,104716,Soyana (PIN collection 117),PIN 117/1693,forewing,7,not_amber,270.55
Selandria plagineura,128551,"Shanwang, Linqu County, collection 3",830094,body,7,not_amber,13.789
Selandria sapindi,106381,"Florissant, Station 14",NA,forewing,7,not_amber,35.55
Semiglobus chrysomelinus,127481,Swanage/Purbeck (DORCM/BMNH) [C. Willcox Collection],NA,elytron,7,not_amber,142.4
Serica cockerelli,113749,"Wilson Ranch, Florissant",NA,elytron,7,not_amber,35.55
Sessiliventer temporalis,106279,Karatau-Mikhailovka (PIN collection 2904),PIN 2904/1251,body,7,not_amber,161.7
Sharasargus spiniger,113439,Karatau-Mikhailovka (PIN collection 2784),PIN 2784/344,wing,7,not_amber,161.7
Sinocicadia shandongensis,154886,"84GTN4, Nanligezhuang, Tuanwang Town, Laiyang City",84SHL24,body,7,not_amber,119
Sinoglosselytron qishuiheensis,117138,Tongchuan,Beijing MNH 82TH1-1/022,elytron,7,not_amber,239.5
Sinoporus lineatus,111712,"Huangbanjigou, Chaomidian Village, CNU 2009 collection",CNU-COL-LB2009104,body,7,not_amber,127.725
Siphonophoroides magnalata,120020,"Knude Klint (Knuden), Fur",M-3,forewing,7,not_amber,51.9
Sismerobius pusillus,124428,Mooi River Locality,NM 938,forewing,7,not_amber,253.17
Sojanoneura triangularis,96860,"Soyana (Iva Gora, PIN collection 94)",PIN 94/640,tegmen,7,not_amber,270.55
Sojanoraphidia martynovae,107787,"Chekarda, Sylva River (PU collection 2)",PU 2/114,body,7,not_amber,275.8
Sora (Sora) zanzibarensis,123991,East Africa Copal (BMNH coll),BMNH I. 5281a,elytron,7,amber,0.00585
Soyanembia sharovi,104992,Soyana (PIN collection 3353),PIN 3353/540,hindwing,7,not_amber,270.55
Sphenosyntexis pallicornis,113439,Karatau-Mikhailovka (PIN collection 2784),PIN 2784/1162,forewing,7,not_amber,161.7
Spinus yumenense,155043,"Sample II8P14L28-1, Xiagou, Qingquan Town, Yumen City",Kj1303,body,7,not_amber,117.245
Stanleyana pulchra,122433,"Warner's Bay, Belmont (AMF coll)",AM F40016,tegmen,7,not_amber,253.17
Stephanogaster longipalpa,113439,Karatau-Mikhailovka (PIN collection 2784),PIN 2784/1184,body,7,not_amber,161.7
Stephanogaster pyriformis,106102,Karatau-Mikhailovka (PIN collection 2384),PIN 2384/1320,forewing,7,not_amber,161.7
Stereosylva singularis,107787,"Chekarda, Sylva River (PU collection 2)",PU N 2/242,hindwing,7,not_amber,275.8
Stigmodelopterum pterostigmalis,124386,NMMNH L-3433; Carrizo Arroyo,NMMNH P-36606,hindwing,7,not_amber,301.3
Stollia rubibrunneus,128552,"Shanwang, Linqu County, collection s (Shandong Provincial Museum)",s82716,body,7,not_amber,13.789
Stomaphis eupetes,138756,"Vishnevaya Balka creek, outcrop 4, Stavropol (PIN collection 224)",PIN 224/137,forewing,7,not_amber,13.789
Stomis elegans,122487,Aix-en-Provence (Museum Marseille Coll),NA,body,7,not_amber,25.565
Strashila daohugouensis,140015,"Daohugou, Xiayingzi outcrop (NIGP collection)",NIGP 155024,wing,7,not_amber,161.7
Succiniplatycerus berendti,109625,"Baltic Amber, Berendt collection",NA,elytron,7,amber,35.95
Sunocarabus brunneus,152382,"Xiwan village, Meileyingzi, Kezuo",Beijing Museum of Natural History Lv8-1003,body,7,not_amber,119
Surijoka grandicella,122566,"Suriekova I, ditch 6 (PIN collection 676)",PIN 676/548,forewing,7,not_amber,266.95
Svabula vzorkovana,117954,Sharin-Gol (bed 350/6),PIN 4306/178,forewing,7,not_amber,127.2
Symphoromyia subtrita,106381,"Florissant, Station 14",AMNH-FI-18867,wing,7,not_amber,35.55
Symphytopterus geniculatus,105426,Karatau-Mikhailovka (PIN collection 2997),PIN 2997/4134,body,7,not_amber,161.7
Symphytopterus nigricornis,105970,Karatau-Mikhailovka (PIN collection 2554),PIN 2554/1272,body,7,not_amber,161.7
Symplecta (Psiloconopa) savchenkoi,113886,Monte Castellaro (MCSN collection),NA,body,7,not_amber,6.2895
Syntexyela gracilicornis,105971,Karatau-Mikhailovka (PIN collection 2066),PIN 2066/3341,forewing,7,not_amber,161.7
Syrphus petrographicus,132748,Florissant (Stump Hill),UMMP 35457,wing,7,not_amber,35.55
Syrphus platychiralis,106384,Florissant (MCZ Collection),MCZ 3927,body,7,not_amber,35.55
Tachypeza primitiva,124624,Florissant (USNM Collection),USNM 112566,body,7,not_amber,35.55
Tanychora petiolata,152382,"Xiwan village, Meileyingzi, Kezuo",Beijing Natural History Museum LV8-1002,body,7,not_amber,119
Tanyderites admirandus,104950,Uda River (PIN collection 3053),PIN 3053/910,body,7,not_amber,157.8
Tarwinia australis,77192,"NMVPL425, Koonwarra",NMVP26202,body,7,not_amber,117.245
Taxonus nortoni,122092,Green River (Lee Collection),Lee 22,wing,7,not_amber,48.25
Telephorium abgarus,127481,Swanage/Purbeck (DORCM/BMNH) [C. Willcox Collection],Hand Pl XLV fig 71,elytron,7,not_amber,142.4
Tenor speluncae,106384,Florissant (MCZ Collection),MCZ 550,body,7,not_amber,35.55
Tenthredella fenestralis,124680,Florissant (BMNH Collection),BMNH In.26916,forewing,7,not_amber,35.55
Tenthredella toddi,122741,Florissant (Todd coll),NA,forewing,7,not_amber,35.55
Tentyridium peleus,127481,Swanage/Purbeck (DORCM/BMNH) [C. Willcox Collection],Hand Pl XLV fig 66,elytron,7,not_amber,142.4
Tetraphalerus incertus,113432,Sogyuty (PIN Collection 381),PIN 381/101,body,7,not_amber,196.05
Tetraphalerus latus,111710,"Huangbanjigou, Chaomidian Village, CNU 2006 collection",CNU-C-LB2006005,elytron,7,not_amber,127.725
Tetraraphes ebersini,113470,Baltic amber (PIN collection 364),PIN 364/712,body,7,amber,35.95
Thanasimodes jantar,147612,"Baltic Amber, Humboldt University MfN Collection",MfN MB.J.496,body,7,amber,35.95
