species,collection_no,collection_name,specimen_ID,part,length,amber,age_ma
Tithonoscelio resinalis,108769,Pe±acerrada outcrop I,MCNA 8633.3,forewing,0.54,amber,110.515
Apticoccus fortis,122471,"Mdeyrij-Hammana, Casa Baabda (Azar coll)",Azar HAM-1669A,body,0.545,amber,123.955
Alavaromma orchamum,108769,Pe±acerrada outcrop I,MCNA 9127,body,0.55,amber,110.515
Archiaustroconops gracilis,104053,Burmese amber (Poinar collection),Poinar In. C-5,wing,0.55,amber,96.55
Lebanaphis minor,122471,"Mdeyrij-Hammana, Casa Baabda (Azar coll)",Azar 40,body,0.55,amber,123.955
Leptosyna munifera,122997,"Rovno Amber, Klesov locality (SIZC K collection)",K-1410,body,0.55,amber,35.95
Protoxythrips ursulae,124273,Bitterfeld amber (Hoffeins collection),Hoffeins 1477/6,forewing,0.55,amber,25.565
Stellasegna vaporea,122997,"Rovno Amber, Klesov locality (SIZC K collection)",K-3073,body,0.55,amber,35.95
Hexaphlebia burmanica,104053,Burmese amber (Poinar collection),Poinar B-He-24B,forewing,0.56,amber,96.55
Leptosyna munifera,122997,"Rovno Amber, Klesov locality (SIZC K collection)",K-1410,wing,0.56,amber,35.95
Ptilium tertiarium,122010,Rott (Statz coll),NA,body,0.56,not_amber,25.715
Sucinothrips incertus,110735,"Baltic Amber, GPIH collection",GPIH 4367,forewing,0.56,amber,35.95
Washingtonhelea taimyrica,35056,"Taimyr amber, Yantardakh Hill (PIN collection 3311)",PIN 3311/375,wing,0.56,amber,84.95
Xylopriona aristata,113621,"Rovno Amber, Ukryantar factory material (SIZC UA collection)",UA-1592,wing,0.56,amber,35.95
Protanaphothrips suspensus,120813,Baltic Amber (Museum Ziemi collection),MZ 4967 TG,forewing,0.562,amber,35.95
Protanaphothrips suspensus,120813,Baltic Amber (Museum Ziemi collection),MZ 21483 TG,forewing,0.562,amber,35.95
Pantostictus burmanicus,104053,Burmese amber (Poinar collection),Poinar B-C-40,elytron,0.564,amber,96.55
Archiaustroconops annae,122471,"Mdeyrij-Hammana, Casa Baabda (Azar coll)",Azar 598,wing,0.57,amber,123.955
Germaraphis (Germaraphis) henningseni,123762,Baltic Amber (University of Copenhagen ZMUC Collection),Henningsen coll,body,0.57,amber,35.95
Inka minuta,35056,"Taimyr amber, Yantardakh Hill (PIN collection 3311)",PIN 3311/583,forewing,0.57,amber,84.95
Jordanoconops weitschati,124848,Jordanian Amber (GPIMH collection),GPIMH 4226,wing,0.57,amber,106.75
Leptoconops (Leptoconops) copiosus,123016,"Sunrise landing, East Brunswick",AMNH NJ-42 ,wing,0.57,amber,91.85
Peromyia miranda,113621,"Rovno Amber, Ukryantar factory material (SIZC UA collection)",UA-1290,wing,0.57,amber,35.95
Sphaeropsocites lebanensis,122359,"Jezzine, Lebanese amber (AMNH coll)",AMNH JS284,forewing,0.57,amber,127.2
Strobliella appropinquata,113621,"Rovno Amber, Ukryantar factory material (SIZC UA collection)",UA-46,body,0.57,amber,35.95
Taeniothrips (Physothrips) resinae,127170,"Baltic Amber, Judge Fritsch (Goldap) collection (Kaliningrad Museum of Amber)",Fritsch Nr 3,forewing,0.57,amber,35.95
Protanaphothrips suspensus,129227,Bitterfeld amber (MfN collection),MfN MB.I.788,forewing,0.571,amber,25.565
Anaphothrips pusillus,120813,Baltic Amber (Museum Ziemi collection),MZ 5593 TG,body,0.573,amber,35.95
Palaeopatasson grollei,153459,Dominican amber (MfN coll),Mfn Palao 1981/908b,body,0.578,amber,17.13
