species,collection_no,lithology,specimen ID,part,measurement,mean
Anthomyia atavella,106379,"""shale""",UCM-8555,wing,length,4.25
Anthomyia atavella,106379,"""shale""",UCM-8555,body,length,6
Anthomyia burgessi,121480,"""shale""",GSC 29,wing,width,2
Anthomyia burgessi,121480,"""shale""",GSC 29,wing,length,4.75
Anthomyia burgessi,121480,"""shale""",GSC 29,body,length,4.75
Anthomyia inanimata,121480,"""shale""",GSC 30,wing,width,2.25
Anthomyia inanimata,121480,"""shale""",GSC 30,wing,length,6.2
Anthomyia inanimata,121480,"""shale""",GSC 30,body,length,6
Anthomyia persepulta,124624,"""shale""",USNM 62541,wing,length,4.3
Anthomyia persepulta,124624,"""shale""",USNM 62541,body,length,5.7
Anthomyia pulcherrima,113712,"""limestone""",NA,body,length,5
Anthomyia winchesteri,121194,"""shale""",USNM 66575 ,thorax,length,3
Anthomyia winchesteri,121194,"""shale""",USNM 66575 ,abdomen,width,2.7
Anthomyia winchesteri,121194,"""shale""",USNM 66575 ,abdomen,length,3
Anthomyza rhenana,122010,"""shale""",NA,wing,width,0.5
Anthomyza rhenana,122010,"""shale""",NA,wing,length,1.42
Anthomyza rhenana,122010,"""shale""",NA,body,length,1.56
Anthonomus amaguensis,113705,"""shale""/diatomite",USNM 69612,elytron,width,1.3
Anthonomus amaguensis,113705,"""shale""/diatomite",USNM 69612,elytron,length,4
Anthonomus arctus,106384,"""shale""",NA,body,length,3.3
Anthonomus concussus,106384,"""shale""",NA,body,length,5.25
Anthonomus corruptus,106384,"""shale""",NA,body,length,2.6
Anthonomus debilatus,106384,"""shale""",NA,body,length,3.75
Anthonomus defossus,121307,"""shale""",NA,body,length,2.2
Anthonomus evigilatus,106384,"""shale""",NA,body,length,3.6
Anthonomus primordius,106384,"""shale""",Scudder 12484,body,length,3.5
Anthonomus reventus,106384,"""shale""",NA,body,length,2.65
Anthonomus revictus,152136,"diatomite/""shale""",NA,elytron,length,1.9
Anthonomus revictus,152136,"diatomite/""shale""",NA,body,length,2.7
Anthonomus soporus,122092,"diatomite/""shale""",Lee 48,elytron,width,0.9
Anthonomus soporus,122092,"diatomite/""shale""",Lee 48,elytron,length,2
Anthonomus sunchalensis,110536,"mudstone/""limestone""",USNM 70812,elytron,width,2.4
Anthonomus sunchalensis,110536,"mudstone/""limestone""",USNM 70812,elytron,length,5
Anthonomus sunchalensis,151863,"mudstone/""limestone""",AMNH 24516,elytron,width,2.4
Anthonomus sunchalensis,151863,"mudstone/""limestone""",AMNH 24516,elytron,length,5.4
Anthophora melfordi,106380,"""shale""",NA,forewing,length,8
Anthophorites gaudryi,127630,marl,NA,body,length,12.25
Anthophorites longaeva,117252,"""limestone""","ETH Pl. I, 683",body,width,5
Anthophorites longaeva,117252,"""limestone""","ETH Pl. I, 683",body,length,16
Anthophorites longaeva,117252,"""limestone""","ETH Pl. I, 712",body,width,5.75
Anthophorites longaeva,117252,"""limestone""","ETH Pl. I, 712",body,length,17
Anthophorites longaeva,117252,"""limestone""","ETH Pl. I, 809",body,width,6
Anthophorites longaeva,117252,"""limestone""","ETH Pl. I, 809",body,length,17.5
Anthophorites mellona,122487,"""limestone""",NA,body,length,16
Anthophorites titania,115305,"""limestone""","ETH Zurich Pl. I, 686",forewing,length,8
Anthophorites titania,115305,"""limestone""","ETH Zurich Pl. I, 686",body,width,5.25
Anthophorites titania,115305,"""limestone""","ETH Zurich Pl. I, 686",body,length,13.25
Anthophorites veterana,115304,"""limestone""",ETH Lavater 14,forewing,length,11
Anthophorites veterana,115304,"""limestone""",ETH Lavater 14,body,width,6.5
Anthophorites veterana,115304,"""limestone""",ETH Lavater 14,body,length,14
Anthophorula (Anthophorula) persephone,122982,amber,AMNH DR-KL1 (2 specimens),body,length,6.1
Anthophorula (Anthophorula) persephone,122982,amber,AMNH DR-KL1 (2 specimens),forewing,length,4.6
Anthoscytina aphthosa,138436,mudstone,GMCB LB97202,tegmen,width,5.1
Anthoscytina aphthosa,138436,mudstone,GMCB LB97202,tegmen,length,13.8
Anthoscytina aphthosa,138436,mudstone,GMCB LB97203,tegmen,width,3.3
Anthoscytina aphthosa,138436,mudstone,GMCB LB97203,tegmen,length,10.4
Anthoscytina aphthosa,138436,mudstone,GMCB LB97203,body,width,4
Anthoscytina aphthosa,138436,mudstone,GMCB LB97203,body,length,9.1
Anthoscytina aphthosa,138436,mudstone,GMCB LB97205,tegmen,width,5.3
Anthoscytina aphthosa,138436,mudstone,GMCB LB97205,tegmen,length,14
Anthoscytina aphthosa,138436,mudstone,GMCB LB97201,tegmen,width,2.8
Anthoscytina aphthosa,138436,mudstone,GMCB LB97201,tegmen,length,9.3
Anthoscytina daica,119397,not reported,PIN 3063/172,forewing,length,14
Anthoscytina daica,119397,not reported,PIN 3063/172,body,length,14.5
Anthoscytina longa,110855,"""siliciclastic""",84L03,forewing,width,4
Anthoscytina longa,110855,"""siliciclastic""",84L03,forewing,length,13
Anthoscytina longa,154729,mudstone,Hong 1221,forewing,width,3.8
Anthoscytina longa,154729,mudstone,Hong 1221,forewing,length,13
Anthoscytina longa,154729,mudstone,Hong 1221,body,width,4
Anthoscytina longa,154729,mudstone,Hong 1221,body,length,18
Anthoscytina longa,154730,mudstone,Hong 1202,forewing,width,4.5
Anthoscytina longa,154730,mudstone,Hong 1202,forewing,length,15
Anthoscytina longa,154823,mudstone,Hong h30-8,forewing,width,2
Anthoscytina longa,154823,mudstone,Hong h30-8,forewing,length,9
Anthoscytina longa,154823,mudstone,Hong h30-8,body,length,11.5
Anthoscytina macula,111714,mudstone,CNU-HEM-LB2008027,forewing,width,2.66
Anthoscytina macula,111714,mudstone,CNU-HEM-LB2008027,forewing,length,8.22
Anthoscytina macula,111714,mudstone,CNU-HEM-LB2008027,body,width,3.39
Anthoscytina macula,111714,mudstone,CNU-HEM-LB2008027,body,length,9.17
Anthoscytina parallelica,107000,mudstone,HL91002,forewing,width,4
Anthoscytina parallelica,107000,mudstone,HL91002,forewing,length,15
Anthoscytina perpetua,138748,"""shale""",CNU-HEM-NN2012002,tegmen,width,4.1
Anthoscytina perpetua,138748,"""shale""",CNU-HEM-NN2012002,tegmen,length,13.1
Anthoscytina perpetua,138748,"""shale""",CNU-HEM-NN2012003,tegmen,width,4.5
